i,Annotation,Human association to T2D incidence,Nile rat non-fasted association to OGTT glucAUC,Nile rat fasted association to OGTT glucAUC,Elastic net fasted importance,Elastic net non-fasted importance,Elastic net fasted coefficient sign,Elastic net non-fasted coefficient sign,Nonfasted indiv linear model q-value,Nonfasted indiv linear model p-value,Fasted indiv linear model q-value,Fasted indiv linear model p-value,SRR,SRR 95% CI,SRR p-value,SRR q-value
l_387,PC 16:0_16:0,Not significant,Not significant,Not significant,0.080189015,0,-,-,0.39583595,0.29160945,0.581470275,0.336394345,1.06,0.95; 1.19,0.27,0.411
l_388,PC 18:0_22:5,Not significant,Positive,Not significant,0.003750356,0.059636302,+,+,0.000744242,0.000151595,0.181452123,0.048679136,1.05,0.98; 1.12,0.191,0.335
l_391,PC 18:0_20:4,Not significant,Positive,Not significant,0,0.262494231,-,+,2.20E-05,1.84E-06,0.163904654,0.042691986,0.98,0.95; 1.01,0.206,0.353
l_393,PC 16:0_18:1,Not significant,Not significant,Not significant,0.117564833,0.018001092,-,-,0.877744657,0.825496781,0.367740671,0.15320353,0.97,0.85; 1.1.,0.633,0.741
l_396,PC 36:4,Not significant,Not significant,Not significant,0.009249785,0.015781579,-,+,0.584509524,0.479969851,0.671589392,0.434221388,0.93,0.82; 1.06,0.261,0.411
l_402,Plasmanyl-PE O-38:5,Not in human SRR analysis,Not significant,Not significant,0.041399499,0,-,-,0.186888808,0.115890662,0.235319709,0.074654301,,,,
l_404,PE 18:0_20:4,Increased,Not significant,Positive,0.558589037,0.001834845,+,+,0.162803723,0.097982652,0.023734407,0.001920314,1.17,1.07; 1.28,0.001,0.002
l_407,PC 18:2_18:0,Not significant,Positive,Not significant,0,2.86E-06,-,+,0.002435654,0.000717386,0.414798028,0.193121012,0.99,0.96; 1.02,0.433,0.571
l_408,PC 38:5,Not significant,Not significant,Not significant,0.000443016,0.002612641,+,-,0.462517307,0.353966435,0.375289075,0.162278227,0.95,0.90; 1.01,0.089,0.192
l_413,Plasmanyl-PC O-18:0_22:6,Not in human SRR analysis,Not significant,Not significant,0.401787387,0,+,-,0.162379539,0.097457911,0.052377371,0.006960288,,,,
l_414,Plasmenyl-PE P-18:0_22:6,Not in human SRR analysis,Positive,Not significant,5.42E-05,0.015023906,+,+,2.66E-05,2.40E-06,0.05997136,0.009491564,,,,
l_417,FA 25:0,Not in human SRR analysis,Not significant,Not significant,0.003888965,0,-,-,0.055063906,0.02680897,0.85671399,0.716259106,,,,
l_418,SM d36:0,Not significant,Positive,Not significant,0.064201894,0.016360913,-,+,0.003099038,0.000967762,0.585046631,0.339235697,1.45,0.95; 2.19,0.082,0.183
l_419,PC 18:0_22:5,Not significant,Positive,Not significant,0.012339164,0.000161893,-,+,0.003898699,0.00125345,0.867981151,0.735535482,1.05,0.98; 1.12,0.191,0.335
l_421,Plasmanyl-PC O-38:5,Not in human SRR analysis,Positive,Not significant,0.13332283,7.92E-05,+,+,0.003778388,0.001206724,0.181696641,0.048873688,,,,
l_422,PE 18:2_18:0,Increased,Positive,Not significant,0,0,-,-,0.006392005,0.002254667,0.546612637,0.308422106,1.18,1.07; 1.30,0.001,0.006
l_424,PC 18:0_20:3,Increased,Positive,Not significant,0.00895574,0.133943916,-,+,0.000666407,0.000129592,0.699048678,0.469836123,1.19,1.09; 1.29,0.001,0.001
l_427,PC 40:6,Not significant,Positive,Not significant,0.027183401,0.01173147,+,+,0.001029947,0.000240492,0.316916514,0.121458423,1.05,0.97; 1.13,0.266,0.411
l_431,Plasmanyl-PC O-32:1,Not in human SRR analysis,Not significant,Not significant,0.285673963,0.290937509,-,-,0.214737029,0.136665851,0.369725286,0.157257166,,,,
l_432,Plasmanyl-PE O-18:0_22:6,Not in human SRR analysis,Not significant,Not significant,0.002289662,0,-,-,0.087855049,0.046577517,0.898562815,0.815843267,,,,
l_433,PC 19:0_20:4,Not in human SRR analysis,Positive,Not significant,0,0.022408928,-,+,0.002164315,0.000614238,0.537794742,0.296918076,,,,
l_434,PC 16:0_17:0,Not in human SRR analysis,Positive,Not significant,0.001098153,0,-,-,0.014397399,0.00585501,0.848907812,0.701900355,,,,
l_435,SM d37:1,Not in human SRR analysis,Positive,Not significant,5.60E-05,0.763409658,+,+,1.22E-06,2.25E-08,0.444047545,0.219975292,,,,
l_436,PC 17:0_18:1,Not in human SRR analysis,Not significant,Not significant,0.002404361,0,-,-,0.346663368,0.247265213,0.44931997,0.223872849,,,,
l_437,Plasmanyl-PC O-18:0_20:4,Not in human SRR analysis,Positive,Not significant,0.233604035,0.021977274,+,+,0.005874223,0.002059522,0.054957151,0.00768386,,,,
l_438,Plasmanyl-PC O-16:0_16:0,Not in human SRR analysis,Not significant,Not significant,0.10393035,0.015691161,-,-,0.05935054,0.029275106,0.48969562,0.260313712,,,,
l_440,Plasmenyl-PE P-18:0_20:4,Not in human SRR analysis,Not significant,Not significant,0.070899978,0.000377635,+,+,0.130249793,0.07450155,0.120612913,0.026964562,,,,
l_442,Plasmenyl-PC P-34:0,Not in human SRR analysis,Not significant,Not significant,0.005894372,0,-,-,0.850421189,0.791350104,0.822069467,0.644800589,,,,
l_443,Plasmanyl-PC O-34:1,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.911950502,0.872469324,0.824484622,0.652118495,,,,
l_444,Plasmanyl-PC O-36:3,Not in human SRR analysis,Positive,Not significant,0.000316293,0.065776921,-,+,0.000257834,3.97E-05,0.832107275,0.669701668,,,,
l_445,PC 18:0_22:4,Not significant,Positive,Not significant,6.05E-05,0.337027116,+,+,0.000281937,4.44E-05,0.87510423,0.75044315,0.93,0.79; 1.08,0.331,0.473
l_448,PC 18:2_19:0,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.001107933,0.000268923,0.987361448,0.980160599,,,,
l_449,Plasmenyl-PE P-34:1,Not in human SRR analysis,Not significant,Not significant,0.002967389,0,-,-,0.061884809,0.03074476,0.937184205,0.893284874,,,,
l_450,Plasmanyl-PC O-38:3,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.040901711,0.018955868,0.696428655,0.464615284,,,,
l_451,Plasmanyl-PE O-18:0_20:4,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.141281592,0.083325055,0.818815926,0.639245932,,,,
l_453,Plasmanyl-PC O-18:0_18:2,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.003036775,0.000944008,0.70680543,0.480826991,,,,
l_454,Plasmenyl-PE P-18:0_18:2,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.002143459,0.000605462,0.676538471,0.441160475,,,,
l_455,Plasmanyl-PC O-40:5,Not in human SRR analysis,Positive,Not significant,0,0.000454354,-,+,0.047662232,0.02249495,0.407182046,0.187841256,,,,
l_456,FA 26:0,Not in human SRR analysis,Positive,Not significant,4.33E-05,5.71E-06,+,+,0.006772959,0.00240827,0.922631283,0.861480317,,,,
l_457,PE O-40:5,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.133867085,0.077241973,0.792347268,0.599925403,,,,
l_459,SM d40:2,Not significant,Not significant,Not significant,0.106221303,0.158708306,+,+,0.057800586,0.02834649,0.408894301,0.189501759,0.99,0.88; 1.12,0.881,0.926
l_463,PC 36:3,Not significant,Positive,Positive,0.001093158,0.065812324,+,+,5.90E-05,6.12E-06,0.0321257,0.003283251,1,0.92; 1.08,0.943,0.978
l_465,PC 16:0_18:0,Not significant,Positive,Not significant,0,0,-,-,0.000126283,1.67E-05,0.782962279,0.586804945,1.03,0.98; 1.09,0.218,0.365
l_469,SM d38:1,Not significant,Positive,Not significant,0,0.3163432,-,+,0.000865425,0.000193477,0.623140765,0.379014645,1.13,1.01; 1.26,0.034,0.095
l_473,SM d42:3,Not significant,Not significant,Not significant,0,0,-,-,0.640582103,0.536470462,0.985191019,0.975402038,0.99,0.86; 1.13,0.871,0.921
l_474,PC 18:1_18:0,Not significant,Positive,Not significant,0.03184276,0,-,-,0.004945585,0.001677778,0.248067996,0.08221984,1.05,1.00; 1.11,0.044,0.116
l_485,Plasmanyl-PE O-18:0_18:2,Not in human SRR analysis,Not significant,Not significant,0.019471911,0,-,-,0.18622915,0.115253243,0.452612106,0.226787897,,,,
l_486,PC 18:0_20:2,Not significant,Positive,Not significant,0,0,-,-,0.020149318,0.008623165,0.837676017,0.675684514,1.02,0.97; 1.08,0.394,0.538
l_489,SM d40:2,Not significant,Not significant,Not significant,0.004673791,0,+,-,0.242961704,0.1600202,0.244611832,0.079338259,0.99,0.88; 1.12,0.881,0.926
l_491,Plasmanyl-PE O-20:0_20:5,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.784385441,0.703450637,0.603926952,0.36089886,,,,
l_492,PC 40:3,Decreased,Positive,Not significant,0,0,-,-,0.002088452,0.000585478,0.892342541,0.79734511,0.88,0.83; 0.93,0.001,0.001
l_494,PE 18:1_18:0,Increased,Positive,Not significant,0,0,-,-,0.012940673,0.005115653,0.558127739,0.318873548,1.41,1.15; 1.74,0.001,0.005
l_495,Plasmanyl-PC O-20:0_22:6,Not in human SRR analysis,Positive,Not significant,0.019576744,2.96E-05,+,+,0.004449799,0.001474845,0.057058468,0.008382614,,,,
l_496,Plasmenyl-PE P-20:0_22:6,Not in human SRR analysis,Positive,Not significant,0.00120029,0.22234577,+,+,0.000621483,0.000119092,0.267310337,0.091632997,,,,
l_499,Plasmanyl-PE O-20:0_22:6,Not in human SRR analysis,Not significant,Not significant,0.000557819,0,-,-,0.228204072,0.147871056,0.938476915,0.89518309,,,,
l_500,SM d41:2,Not significant,Not significant,Not significant,0.213496683,0.112021886,+,+,0.136340007,0.079346207,0.383636572,0.167957749,0.98,0.92; 1.05,0.538,0.662
l_501,PC 35:0,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.079352857,0.040999915,0.76073632,0.553410027,,,,
l_503,SM d39:1,Increased,Positive,Not significant,0.008343661,0.140367463,+,+,0.014919603,0.006113764,0.714486578,0.487818373,1.11,1.03; 1.19,0.005,0.018
l_505,Plasmanyl-PC O-20:0_20:4,Not in human SRR analysis,Positive,Positive,0.501784805,0.836194372,+,+,2.67E-05,2.42E-06,0.001358752,1.83E-05,,,,
l_506,Plasmenyl-PE P-20:0_20:4,Not in human SRR analysis,Positive,Not significant,0.056928995,0.001203715,+,+,0.002212927,0.0006359,0.096743789,0.019087845,,,,
l_507,SM d41:2,Not significant,Not significant,Not significant,0.495672592,0,+,-,0.669864655,0.568603019,0.054957151,0.007674516,0.98,0.92; 1.05,0.538,0.662
l_508,Plasmanyl-PC O-36:1,Not in human SRR analysis,Not significant,Not significant,0.021380928,0,-,-,0.645957513,0.54326448,0.353175899,0.14337588,,,,
l_509,Plasmenyl-PE P-18:0_18:1,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.002596798,0.000775906,0.922631283,0.861733689,,,,
l_510,Plasmanyl-PE O-20:0_20:4,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.382995965,0.279160296,0.891004681,0.79466532,,,,
l_512,Plasmanyl-PC O-38:2,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.090483751,0.048546754,0.882687686,0.776188817,,,,
l_514,PE O-38:2,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.222964685,0.143526593,0.749639399,0.537356844,,,,
l_515,Plasmanyl-PE O-18:0_18:1,Not in human SRR analysis,Not significant,Not significant,0.067513699,0,-,-,0.227182248,0.146725227,0.290408688,0.105751056,,,,
l_520,SM d42:2,Not significant,Not significant,Not significant,0.001690949,0,+,-,0.374580888,0.271697422,0.751156337,0.538977329,0.99,0.89; 1.11,0.896,0.935
l_525,SM d40:1,Not significant,Not significant,Not significant,0.000170356,0,+,-,0.096271902,0.052133046,0.636923441,0.399688319,1.16,1.00; 1.34,0.047,0.119
l_530,Plasmanyl-PE O-20:0_18:2,Not in human SRR analysis,Not significant,Not significant,0.057760117,0,-,-,0.934619446,0.904769996,0.406734201,0.187345988,,,,
l_534,SM d43:2,Not in human SRR analysis,Not significant,Not significant,0.042665507,6.87E-05,-,-,0.496811636,0.385080155,0.718958654,0.495974316,,,,
l_536,SM d41:1,Increased,Not significant,Not significant,0.00121826,3.36E-07,+,+,0.082918734,0.04343082,0.369725286,0.157441569,1.23,1.14; 1.33,0.001,0.001
l_547,SM d42:1,Not significant,Not significant,Not significant,0,0,-,-,0.766283229,0.678179692,0.894196258,0.80154001,0.97,0.79; 1.19,0.792,0.87
l_555,Cer[NS] d18:1_24:1,Increased,Not significant,Not significant,0.043203218,0.000554032,-,-,0.066230054,0.033055714,0.159289039,0.040417203,1.15,1.05; 1.26,0.003,0.013
l_562,Cer[NS] d18:1_22:0,Not significant,Positive,Not significant,0.016586374,0,-,-,0.04238584,0.019764015,0.282167553,0.099729909,1.22,1.00; 1.47,0.047,0.119
l_569,TG 20:5_22:6_22:6,Not in human SRR analysis,Positive,Not significant,0,0.191326612,-,+,1.63E-06,4.17E-08,0.05759054,0.008746895,,,,
l_570,SM d43:1,Not in human SRR analysis,Not significant,Not significant,0.022282841,0,-,-,0.907386061,0.866814505,0.522374339,0.285099976,,,,
l_576,Cer[NS] d41:1,Not in human SRR analysis,Positive,Not significant,0.002624306,0,-,-,0.014038563,0.005669228,0.697229197,0.466139037,,,,
l_582,TG 22:6_22:6_22:6,Not in human SRR analysis,Positive,Positive,0.007670434,0.451760003,+,+,2.35E-07,1.17E-09,0.000185493,1.18E-06,,,,
l_590,TG 18:2_20:5_20:5,Not in human SRR analysis,Positive,Not significant,0,0.003751279,-,+,9.75E-05,1.16E-05,0.059112631,0.009061979,,,,
l_598,Cer[NS] d18:1_24:0,Increased,Positive,Not significant,0.003664962,7.68E-05,-,+,0.020293733,0.008699372,0.491088674,0.261751309,1.11,1.04; 1.20,0.003,0.014
l_603,TG 60:13,Not in human SRR analysis,Positive,Not significant,0,0.186772554,-,+,1.97E-06,5.74E-08,0.369513228,0.154434751,,,,
l_611,TG 18:2_22:6_22:6,Not in human SRR analysis,Positive,Positive,0,0.463589319,-,+,2.63E-07,1.68E-09,0.004784527,0.000176576,,,,
l_613,TG 18:2_20:5_20:4,Not significant,Positive,Positive,0.026771408,0.104178767,+,+,1.91E-05,1.45E-06,0.03701546,0.004019422,1.3,0.82; 2.07,0.265,0.411
l_617,TG 18:1_20:5_20:5,Not significant,Positive,Negative,0.008799595,0.052108403,-,+,0.00069257,0.000138121,0.023153679,0.001840463,1.3,0.82; 2.07,0.265,0.411
l_623,TG 62:13,Not in human SRR analysis,Positive,Positive,0.002297997,0.381358415,+,+,2.91E-07,2.06E-09,0.00646235,0.000288821,,,,
l_626,TG 10:0_18:2_18:1,Not in human SRR analysis,Positive,Not significant,0.008396264,0,-,-,0.011339856,0.004362534,0.317281705,0.122048747,,,,
l_628,TG 56:9,Not significant,Positive,Positive,0.038993427,0.144848589,+,+,3.11E-06,1.15E-07,0.027680909,0.002495015,0.89,0.72; 1.11,0.312,0.458
l_631,TG 12:0_18:2_18:2,Increased,Positive,Not significant,0,0,-,-,0.004249392,0.001391134,0.895099654,0.80743198,1.24,1.13; 1.36,0.001,0.001
l_632,TG 18:1_20:5_22:6,Not significant,Positive,Not significant,0,0.087215117,-,+,5.64E-06,2.84E-07,0.67738464,0.442631968,0.89,0.65; 1.21,0.451,0.588
l_635,TG 58:11,Not significant,Positive,Not significant,0,9.40E-05,-,+,5.56E-06,2.76E-07,0.153623508,0.03848765,1.3,0.82; 2.07,0.265,0.411
l_638,TG 14:0_18:2_22:6,Not significant,Positive,Not significant,0,0,-,-,0.000116314,1.49E-05,0.26954231,0.093298089,1.17,0.89; 1.55,0.267,0.411
l_639,TG 14:0_18:3_18:2,Increased,Positive,Not significant,5.80E-05,0,-,-,0.004888904,0.00164467,0.901077721,0.823418897,1.26,1.13; 1.39,0.001,0.001
l_641,TG 16:1_18:3_18:2,Not significant,Positive,Not significant,0,0,-,-,0.001597739,0.000416161,0.685379304,0.452865956,1.21,1.03; 1.42,0.022,0.067
l_642,TG 56:9,Not significant,Positive,Not significant,1.20E-05,0,+,-,1.94E-05,1.53E-06,0.097929273,0.019549431,0.89,0.72; 1.11,0.312,0.458
l_644,TG 18:2_18:2_22:6,Not significant,Positive,Positive,0.006333729,0.049251042,+,+,3.10E-06,1.12E-07,0.010428718,0.000636529,1.01,0.67; 1.52,0.974,0.988
l_646,TG 54:7,Increased,Positive,Positive,0.004301294,0,+,-,0.000187163,2.71E-05,0.04068954,0.004591651,1.3,1.08; 1.56,0.005,0.018
l_648,TG 18:1_22:6_22:6,Not in human SRR analysis,Positive,Positive,0.002148052,0.640190116,+,+,6.50E-07,5.70E-09,0.046863095,0.00578721,,,,
l_652,TG 16:0_22:6_22:6,Not significant,Positive,Positive,0,0.002473094,-,+,2.54E-06,8.46E-08,0.004323046,0.000156476,0.89,0.65; 1.21,0.451,0.588
l_653,TG 52:6,Not significant,Positive,Not significant,0,0.030287227,-,+,0.000101319,1.24E-05,0.601568736,0.358208779,1.21,1.03; 1.42,0.022,0.067
l_656,TG 55:8,Not in human SRR analysis,Positive,Not significant,0,0.000170105,-,+,1.57E-05,1.10E-06,0.119655478,0.026665593,,,,
l_658,TG 18:2_18:2_22:5,Not significant,Positive,Positive,0.010363725,3.53E-06,+,+,5.66E-05,5.79E-06,0.025608365,0.002141596,1.02,0.88; 1.18,0.779,0.865
l_659,TG 51:5,Not in human SRR analysis,Positive,Not significant,0.000160097,0,+,-,0.000344569,5.78E-05,0.419494752,0.197987232,,,,
l_663,TG 16:0_22:6_22:5,Not in human SRR analysis,Positive,Positive,0.003375283,0.137975875,+,+,1.73E-06,4.64E-08,0.006735537,0.000305944,,,,
l_665,TG 58:10,Not significant,Positive,Positive,0,0.142383246,-,+,3.49E-06,1.43E-07,0.048934247,0.006306346,1.01,0.67; 1.52,0.974,0.988
l_668,TG 56:8,Not significant,Positive,Not significant,0,0.00021123,-,+,2.07E-05,1.70E-06,0.071834984,0.012898688,1.1,0.88; 1.39,0.407,0.55
l_670,TG 54:7,Increased,Positive,Not significant,0,0,-,-,4.59E-05,4.46E-06,0.730457909,0.514275547,1.3,1.08; 1.56,0.005,0.018
l_674,TG 46:2,Increased,Positive,Not significant,0.057960011,0,-,-,0.007178809,0.002567863,0.075420988,0.013756703,1.29,1.22; 1.37,0.001,0.001
l_675,TG 48:3,Increased,Positive,Not significant,0.004655632,0,-,-,0.004896537,0.001650713,0.488948026,0.259003513,1.26,1.09; 1.47,0.002,0.01
l_678,TG 50:4,Not significant,Positive,Not significant,0,0,-,-,0.001613424,0.000423681,0.807665693,0.618945216,1.15,0.99; 1.34,0.061,0.148
l_680,TG 18:0_20:5_22:6,Not in human SRR analysis,Positive,Positive,0,0.197231447,-,+,1.78E-06,5.07E-08,0.04787381,0.006115888,,,,
l_681,TG 54:6,Not significant,Positive,Positive,0.0030557,0,+,-,0.00131572,0.000338035,0.041727359,0.00485684,1.16,0.98; 1.37,0.094,0.199
l_683,TG 58:9,Not significant,Positive,Positive,0,0,-,-,1.13E-05,7.07E-07,0.027669005,0.002474304,1.02,0.88; 1.18,0.779,0.865
l_686,TG 16:0_18:2_22:6,Not significant,Positive,Not significant,0,0,-,-,1.57E-05,1.10E-06,0.061411855,0.010286159,1.1,0.88; 1.39,0.407,0.55
l_690,TG 52:5,Not significant,Positive,Not significant,0,0,-,-,0.000433737,7.79E-05,0.557343487,0.317634365,1.09,0.88; 1.35,0.445,0.582
l_694,CE 20:5,Not in human SRR analysis,Positive,Not significant,0.001892362,0.102252403,-,+,0.028357239,0.012598745,0.748587579,0.535399868,,,,
l_697,TG 15:0_16:1_18:2,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.004249392,0.001393342,0.992829117,0.987192046,,,,
l_699,TG 15:0_18:2_18:2,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.000761205,0.000156671,0.377481435,0.163959289,,,,
l_700,TG 53:5,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.00126376,0.000318407,0.358704011,0.147728813,,,,
l_702,TG 18:0_20:5_20:4,Not significant,Positive,Positive,0.035788571,0,+,-,1.25E-05,7.87E-07,0.007760104,0.000382875,1.02,0.88; 1.18,0.779,0.865
l_703,TG 18:2_18:1_22:5,Not significant,Positive,Positive,0.001710941,0.000162496,+,+,1.36E-05,8.98E-07,0.021574406,0.001684304,1.07,0.90; 1.27,0.434,0.571
l_705,TG 56:7,Not significant,Positive,Positive,0.020363182,2.76E-05,+,+,3.11E-05,2.87E-06,0.041027981,0.004717199,1.21,0.94; 1.55,0.141,0.269
l_706,TG 17:0_18:2_22:6,Not in human SRR analysis,Positive,Not significant,0,0.024318699,-,+,1.25E-05,8.01E-07,0.221578126,0.068648768,,,,
l_711,TG 54:6,Not significant,Positive,Not significant,0,0,-,-,0.000243794,3.70E-05,0.767948631,0.563562019,1.16,0.98; 1.37,0.094,0.199
l_714,TG 16:0_16:0_20:5,Not significant,Positive,Not significant,0,0.003776733,-,+,0.000179679,2.58E-05,0.881424155,0.771763088,1.09,0.88; 1.35,0.445,0.582
l_716,TG 60:10,Not in human SRR analysis,Positive,Positive,0.054031054,0.148182526,+,+,8.42E-07,1.14E-08,0.001358752,1.81E-05,,,,
l_719,TG 46:1,Increased,Positive,Not significant,0.119895984,0,-,-,0.010938019,0.004176476,0.235804904,0.075310296,1.33,1.23; 1.44,0.001,0.001
l_721,TG 50:3,Increased,Positive,Not significant,3.42E-05,0,-,-,0.007192632,0.002583018,0.937184205,0.891806384,1.37,1.14; 1.66,0.001,0.005
l_724,TG 48:2,Increased,Positive,Not significant,0.010629164,0,-,-,0.004739628,0.001581814,0.470218689,0.245621686,1.31,1.21; 1.43,0.001,0.001
l_727,TG 54:5,Not significant,Positive,Not significant,0,0,-,-,0.000829357,0.000184825,0.156614332,0.039348101,1.18,0.96; 1.45,0.11,0.224
l_731,TG 52:4,Not significant,Positive,Not significant,0,0,-,-,0.000380996,6.62E-05,0.300802116,0.112293764,1.06,0.90; 1.23,0.484,0.614
l_738,TG 16:0_18:1_22:6,Not significant,Positive,Not significant,0,0,-,-,0.000116314,1.49E-05,0.271644122,0.095046524,1.21,0.94; 1.55,0.141,0.269
l_740,TG 58:7,Not significant,Positive,Not significant,0,0.009206195,-,+,9.55E-06,5.69E-07,0.079297671,0.014576364,1.18,1.02; 1.37,0.026,0.078
l_741,TG 58:8,Not significant,Positive,Not significant,0,0.001331416,-,+,1.59E-05,1.13E-06,0.159289039,0.040495036,1.07,0.90; 1.27,0.434,0.571
l_747,CE 20:4,Not in human SRR analysis,Positive,Not significant,0.099823302,0.189207387,+,+,8.49E-05,9.58E-06,0.309648222,0.117134494,,,,
l_753,TG 51:3,Increased,Positive,Not significant,0,0,-,-,0.001620527,0.000427847,0.74367759,0.530444271,1.31,1.22; 1.42,0.001,0.001
l_754,TG 49:2,Increased,Positive,Not significant,0,0,-,-,0.00126376,0.000318097,0.770529613,0.569284121,1.38,1.30; 1.47,0.001,0.001
l_756,TG 58:7,Not significant,Positive,Not significant,0,0.015458595,-,+,2.03E-05,1.63E-06,0.089621084,0.017300876,1.18,1.02; 1.37,0.026,0.078
l_758,TG 56:6,Increased,Positive,Not significant,0,0,-,-,0.000118791,1.53E-05,0.115675653,0.02528609,1.25,1.07; 1.47,0.005,0.018
l_759,TG 53:4,Not in human SRR analysis,Positive,Not significant,7.89E-06,0,+,-,0.001301874,0.000333178,0.205757113,0.060164607,,,,
l_760,TG 54:5,Not significant,Positive,Not significant,1.73E-06,0.000359955,+,+,6.53E-05,7.04E-06,0.268258557,0.092338822,1.18,0.96; 1.45,0.11,0.224
l_765,TG 52:4,Not significant,Positive,Not significant,0.001818034,0,+,-,0.000580286,0.00010955,0.185696295,0.050872087,1.06,0.90; 1.23,0.484,0.614
l_771,TG 50:2,Increased,Positive,Not significant,0.000902968,0,-,-,0.010516232,0.00398557,0.904214093,0.830701272,1.52,1.36; 1.70,0.001,0.001
l_774,TG 48:1,Increased,Positive,Not significant,0.002596834,0,-,-,0.00890877,0.003287836,0.645700304,0.411066837,1.46,1.32; 1.61,0.001,0.001
l_777,TG 46:0,Not in human SRR analysis,Positive,Not significant,0,0.017410078,-,+,0.001920557,0.000522053,0.890138088,0.791584829,,,,
l_780,TG 54:4,Not significant,Positive,Not significant,0,0,-,-,0.003564365,0.001130781,0.220995176,0.067684415,1.16,0.95; 1.41,0.154,0.287
l_782,TG 52:3,Increased,Positive,Not significant,0,0,-,-,0.001269214,0.000320682,0.753209132,0.543657691,1.24,1.08; 1.43,0.002,0.009
l_785,TG 50:2,Increased,Positive,Not significant,0,0,-,-,0.002995441,0.000926907,0.879194936,0.758673261,1.52,1.36; 1.70,0.001,0.001
l_790,CE 18:2,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.245432018,0.161995583,0.912344003,0.842412738,,,,
l_791,TG 54:4,Not significant,Positive,Not significant,0.001328856,0.000132589,+,+,0.01308517,0.005182062,0.055150206,0.007866774,1.16,0.95; 1.41,0.154,0.287
l_794,TG 58:7,Not significant,Positive,Not significant,4.74E-05,0.527324519,+,+,2.06E-05,1.68E-06,0.057495258,0.0086727,1.18,1.02; 1.37,0.026,0.078
l_797,TG 56:6,Increased,Positive,Not significant,0.150188073,0.031269353,+,+,2.27E-05,1.93E-06,0.061775055,0.010390836,1.25,1.07; 1.47,0.005,0.018
l_802,TG 49:1,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.001563339,0.000406091,0.8405544,0.689809581,,,,
l_803,TG 18:2_18:2_19:0,Not in human SRR analysis,Positive,Not significant,0.000663746,0.000145502,+,+,0.002281659,0.000662313,0.408894301,0.18934017,,,,
l_804,TG 51:2,Increased,Positive,Not significant,0,0,-,-,0.00643439,0.002274185,0.70680543,0.481069133,1.33,1.21; 1.46,0.001,0.001
l_805,TG 15:0_16:0_16:0,Not in human SRR analysis,Positive,Not significant,0.000689471,0.00025752,+,+,0.000772085,0.00016439,0.706798337,0.47905778,,,,
l_806,TG 18:1_18:0_22:5,Not in human SRR analysis,Positive,Not significant,0.003593563,0.00012149,+,+,0.002444561,0.000721744,0.05997136,0.009468599,,,,
l_808,TG 53:3,Not significant,Positive,Not significant,0,0,-,-,0.00091628,0.000208748,0.636923441,0.40036484,1.24,0.99; 1.53,0.056,0.138
l_815,TG 56:5,Not significant,Positive,Positive,0.000756751,0.009675125,+,+,1.37E-05,9.14E-07,0.041027981,0.004693885,1.24,1.02; 1.51,0.029,0.083
l_819,TG 16:0_18:0_20:4,Not significant,Positive,Not significant,0.011302969,0,+,-,6.18E-05,6.56E-06,0.095638733,0.018801937,1.16,0.95; 1.41,0.154,0.287
l_826,TG 52:2,Increased,Positive,Not significant,0,0,-,-,0.004199477,0.001368034,0.895099654,0.806270033,1.57,1.37; 1.80,0.001,0.001
l_828,TG 56:4,Not significant,Positive,Not significant,0,0,-,-,0.000813096,0.000178985,0.346039658,0.13949647,1.13,0.95; 1.36,0.174,0.315
l_831,TG 50:1,Increased,Positive,Not significant,0,0,-,-,0.001874853,0.000506736,0.932437359,0.876186702,1.55,1.38; 1.73,0.001,0.001
l_833,TG 54:3,Increased,Positive,Not significant,0,0,-,-,0.002175969,0.000622367,0.419494752,0.197960981,1.21,1.12; 1.31,0.001,0.001
l_835,TG 16:0_16:0_16:0,Increased,Positive,Not significant,0.000275184,0.036775453,+,+,0.000770339,0.000161705,0.565956839,0.325756562,1.55,1.37; 1.76,0.001,0.001
l_841,TG 18:0_18:0_22:6,Not in human SRR analysis,Positive,Not significant,0.000460797,0.19205802,+,+,2.07E-05,1.72E-06,0.061411855,0.010252603,,,,
l_844,CE 18:1,Not in human SRR analysis,Negative,Negative,0.698057403,1,-,-,0.016453488,0.006819615,0.033726395,0.003518971,,,,
